0 0 0 	0 0 0.0 
3 2 26 	3.3333333333333335 2.3333333333333335 10.608 
3 2 27 	3.6666666666666665 2.6666666666666665 10.812 
3 2 28 	3.6666666666666665 2.6666666666666665 11.424 
3 2 29 	3 2 11.628 
3 3 0 	3 3 0.0 
3 3 1 	3.3333333333333335 3.3333333333333335 0.204 
3 3 2 	3.3333333333333335 3.3333333333333335 0.816 
3 3 3 	3.6666666666666665 3.6666666666666665 1.02 
3 3 4 	3.6666666666666665 3.6666666666666665 1.632 
3 3 5 	3 3 1.8359999999999999 
3 3 6 	3 3 2.448 
3 3 7 	3.3333333333333335 3.3333333333333335 2.652 
3 3 8 	3.3333333333333335 3.3333333333333335 3.264 
3 3 9 	3.6666666666666665 3.6666666666666665 3.468 
3 3 10 	3.6666666666666665 3.6666666666666665 4.08 
3 3 11 	3 3 4.284 
3 3 12 	3 3 4.896 
3 3 13 	3.3333333333333335 3.3333333333333335 5.1 
3 3 14 	3.3333333333333335 3.3333333333333335 5.712 
3 3 15 	3.6666666666666665 3.6666666666666665 5.916 
3 3 16 	3.6666666666666665 3.6666666666666665 6.528 
3 3 17 	3 3 6.731999999999999 
3 3 18 	3 3 7.343999999999999 
3 3 19 	3.3333333333333335 3.3333333333333335 7.547999999999999 
3 3 20 	3.3333333333333335 3.3333333333333335 8.16 
3 3 21 	3.6666666666666665 3.6666666666666665 8.363999999999999 
3 3 22 	3.6666666666666665 3.6666666666666665 8.975999999999999 
3 3 23 	3 3 9.18 
3 3 24 	3 3 9.792 
3 3 25 	3.3333333333333335 3.3333333333333335 9.996 
3 3 26 	3.3333333333333335 3.3333333333333335 10.608 
3 3 27 	3.6666666666666665 3.6666666666666665 10.812 
3 3 28 	3.6666666666666665 3.6666666666666665 11.424 
3 3 29 	3 3 11.628 
3 4 0 	3 4 0.0 
3 4 1 	3.3333333333333335 4.333333333333333 0.204 
3 4 2 	3.3333333333333335 4.333333333333333 0.816 
3 4 3 	3.6666666666666665 4.666666666666667 1.02 
3 4 4 	3.6666666666666665 4.666666666666667 1.632 
3 4 5 	3 4 1.8359999999999999 
3 4 6 	3 4 2.448 
3 4 7 	3.3333333333333335 4.333333333333333 2.652 
3 4 8 	3.3333333333333335 4.333333333333333 3.264 
3 4 9 	3.6666666666666665 4.666666666666667 3.468 
3 4 10 	3.6666666666666665 4.666666666666667 4.08 
3 4 11 	3 4 4.284 
3 4 12 	3 4 4.896 
3 4 13 	3.3333333333333335 4.333333333333333 5.1 
3 4 14 	3.3333333333333335 4.333333333333333 5.712 
3 4 15 	3.6666666666666665 4.666666666666667 5.916 
3 4 16 	3.6666666666666665 4.666666666666667 6.528 
3 4 17 	3 4 6.731999999999999 
3 4 18 	3 4 7.343999999999999 
3 4 19 	3.3333333333333335 4.333333333333333 7.547999999999999 
3 4 20 	3.3333333333333335 4.333333333333333 8.16 
3 4 21 	3.6666666666666665 4.666666666666667 8.363999999999999 
3 4 22 	3.6666666666666665 4.666666666666667 8.975999999999999 
3 4 23 	3 4 9.18 
3 4 24 	3 4 9.792 
3 4 25 	3.3333333333333335 4.333333333333333 9.996 
3 4 26 	3.3333333333333335 4.333333333333333 10.608 
3 4 27 	3.6666666666666665 4.666666666666667 10.812 
3 4 28 	3.6666666666666665 4.666666666666667 11.424 
3 4 29 	3 4 11.628 
4 0 0 	4 0 0.0 
4 0 1 	4.333333333333333 0.3333333333333333 0.204 
4 0 2 	4.333333333333333 0.3333333333333333 0.816 
4 0 3 	4.666666666666667 0.6666666666666666 1.02 
4 0 4 	4.666666666666667 0.6666666666666666 1.632 
4 0 5 	4 0 1.8359999999999999 
4 0 6 	4 0 2.448 
4 0 7 	4.333333333333333 0.3333333333333333 2.652 
4 0 8 	4.333333333333333 0.3333333333333333 3.264 
4 0 9 	4.666666666666667 0.6666666666666666 3.468 
4 0 10 	4.666666666666667 0.6666666666666666 4.08 
4 0 11 	4 0 4.284 
4 0 12 	4 0 4.896 
4 0 13 	4.333333333333333 0.3333333333333333 5.1 
4 0 14 	4.333333333333333 0.3333333333333333 5.712 
4 0 15 	4.666666666666667 0.6666666666666666 5.916 
4 0 16 	4.666666666666667 0.6666666666666666 6.528 
4 0 17 	4 0 6.731999999999999 
4 0 18 	4 0 7.343999999999999 
4 0 19 	4.333333333333333 0.3333333333333333 7.547999999999999 
4 0 20 	4.333333333333333 0.3333333333333333 8.16 
4 0 21 	4.666666666666667 0.6666666666666666 8.363999999999999 
4 0 22 	4.666666666666667 0.6666666666666666 8.975999999999999 
4 0 23 	4 0 9.18 
4 0 24 	4 0 9.792 
4 0 25 	4.333333333333333 0.3333333333333333 9.996 
4 0 26 	4.333333333333333 0.3333333333333333 10.608 
4 0 27 	4.666666666666667 0.6666666666666666 10.812 
4 0 28 	4.666666666666667 0.6666666666666666 11.424 
4 0 29 	4 0 11.628 
4 1 0 	4 1 0.0 
4 1 1 	4.333333333333333 1.3333333333333333 0.204 
4 1 2 	4.333333333333333 1.3333333333333333 0.816 
4 1 3 	4.666666666666667 1.6666666666666665 1.02 
4 1 4 	4.666666666666667 1.6666666666666665 1.632 
4 1 5 	4 1 1.8359999999999999 
4 1 6 	4 1 2.448 
4 1 7 	4.333333333333333 1.3333333333333333 2.652 
4 1 8 	4.333333333333333 1.3333333333333333 3.264 
4 1 9 	4.666666666666667 1.6666666666666665 3.468 
4 1 10 	4.666666666666667 1.6666666666666665 4.08 
4 1 11 	4 1 4.284 
4 1 12 	4 1 4.896 
4 1 13 	4.333333333333333 1.3333333333333333 5.1 
4 1 14 	4.333333333333333 1.3333333333333333 5.712 
4 1 15 	4.666666666666667 1.6666666666666665 5.916 
4 1 16 	4.666666666666667 1.6666666666666665 6.528 
4 1 17 	4 1 6.731999999999999 
4 1 18 	4 1 7.343999999999999 
4 1 19 	4.333333333333333 1.3333333333333333 7.547999999999999 
4 1 20 	4.333333333333333 1.3333333333333333 8.16 
4 1 21 	4.666666666666667 1.6666666666666665 8.363999999999999 
4 1 22 	4.666666666666667 1.6666666666666665 8.975999999999999 
4 1 23 	4 1 9.18 
4 1 24 	4 1 9.792 
4 1 25 	4.333333333333333 1.3333333333333333 9.996 
4 1 26 	4.333333333333333 1.3333333333333333 10.608 
4 1 27 	4.666666666666667 1.6666666666666665 10.812 
4 1 28 	4.666666666666667 1.6666666666666665 11.424 
4 1 29 	4 1 11.628 
4 2 0 	4 2 0.0 
4 2 1 	4.333333333333333 2.3333333333333335 0.204 
4 2 2 	4.333333333333333 2.3333333333333335 0.816 
4 2 3 	4.666666666666667 2.6666666666666665 1.02 
4 2 4 	4.666666666666667 2.6666666666666665 1.632 
4 2 5 	4 2 1.8359999999999999 
4 2 6 	4 2 2.448 
4 2 7 	4.333333333333333 2.3333333333333335 2.652 
4 2 8 	4.333333333333333 2.3333333333333335 3.264 
4 2 9 	4.666666666666667 2.6666666666666665 3.468 
4 2 10 	4.666666666666667 2.6666666666666665 4.08 
4 2 11 	4 2 4.284 
4 2 12 	4 2 4.896 
4 2 13 	4.333333333333333 2.3333333333333335 5.1 
4 2 14 	4.333333333333333 2.3333333333333335 5.712 
4 2 15 	4.666666666666667 2.6666666666666665 5.916 
4 2 16 	4.666666666666667 2.6666666666666665 6.528 
4 2 17 	4 2 6.731999999999999 
4 2 18 	4 2 7.343999999999999 
4 2 19 	4.333333333333333 2.3333333333333335 7.547999999999999 
4 2 20 	4.333333333333333 2.3333333333333335 8.16 
4 2 21 	4.666666666666667 2.6666666666666665 8.363999999999999 
4 2 22 	4.666666666666667 2.6666666666666665 8.975999999999999 
4 2 23 	4 2 9.18 
4 2 24 	4 2 9.792 
4 2 25 	4.333333333333333 2.3333333333333335 9.996 
4 2 26 	4.333333333333333 2.3333333333333335 10.608 
4 2 27 	4.666666666666667 2.6666666666666665 10.812 
4 2 28 	4.666666666666667 2.6666666666666665 11.424 
4 2 29 	4 2 11.628 
4 3 0 	4 3 0.0 
4 3 1 	4.333333333333333 3.3333333333333335 0.204 
4 3 2 	4.333333333333333 3.3333333333333335 0.816 
4 3 3 	4.666666666666667 3.6666666666666665 1.02 
4 3 4 	4.666666666666667 3.6666666666666665 1.632 
4 3 5 	4 3 1.8359999999999999 
4 3 6 	4 3 2.448 
4 3 7 	4.333333333333333 3.3333333333333335 2.652 
4 3 8 	4.333333333333333 3.3333333333333335 3.264 
4 3 9 	4.666666666666667 3.6666666666666665 3.468 
4 3 10 	4.666666666666667 3.6666666666666665 4.08 
4 3 11 	4 3 4.284 
4 3 12 	4 3 4.896 
4 3 13 	4.333333333333333 3.3333333333333335 5.1 
4 3 14 	4.333333333333333 3.3333333333333335 5.712 
4 3 15 	4.666666666666667 3.6666666666666665 5.916 
4 3 16 	4.666666666666667 3.6666666666666665 6.528 
4 3 17 	4 3 6.731999999999999 
4 3 18 	4 3 7.343999999999999 
4 3 19 	4.333333333333333 3.3333333333333335 7.547999999999999 
4 3 20 	4.333333333333333 3.3333333333333335 8.16 
4 3 21 	4.666666666666667 3.6666666666666665 8.363999999999999 
4 3 22 	4.666666666666667 3.6666666666666665 8.975999999999999 
4 3 23 	4 3 9.18 
4 3 24 	4 3 9.792 
4 3 25 	4.333333333333333 3.3333333333333335 9.996 
4 3 26 	4.333333333333333 3.3333333333333335 10.608 
4 3 27 	4.666666666666667 3.6666666666666665 10.812 
4 3 28 	4.666666666666667 3.6666666666666665 11.424 
4 3 29 	4 3 11.628 
4 4 0 	4 4 0.0 
4 4 1 	4.333333333333333 4.333333333333333 0.204 
4 4 2 	4.333333333333333 4.333333333333333 0.816 
4 4 3 	4.666666666666667 4.666666666666667 1.02 
4 4 4 	4.666666666666667 4.666666666666667 1.632 
4 4 5 	4 4 1.8359999999999999 
4 4 6 	4 4 2.448 
4 4 7 	4.333333333333333 4.333333333333333 2.652 
4 4 8 	4.333333333333333 4.333333333333333 3.264 
4 4 9 	4.666666666666667 4.666666666666667 3.468 
4 4 10 	4.666666666666667 4.666666666666667 4.08 
4 4 11 	4 4 4.284 
4 4 12 	4 4 4.896 
4 4 13 	4.333333333333333 4.333333333333333 5.1 
4 4 14 	4.333333333333333 4.333333333333333 5.712 
4 4 15 	4.666666666666667 4.666666666666667 5.916 
4 4 16 	4.666666666666667 4.666666666666667 6.528 
4 4 17 	4 4 6.731999999999999 
4 4 18 	4 4 7.343999999999999 
4 4 19 	4.333333333333333 4.333333333333333 7.547999999999999 
4 4 20 	4.333333333333333 4.333333333333333 8.16 
4 4 21 	4.666666666666667 4.666666666666667 8.363999999999999 
4 4 22 	4.666666666666667 4.666666666666667 8.975999999999999 
4 4 23 	4 4 9.18 
4 4 24 	4 4 9.792 
4 4 25 	4.333333333333333 4.333333333333333 9.996 
4 4 26 	4.333333333333333 4.333333333333333 10.608 
4 4 27 	4.666666666666667 4.666666666666667 10.812 
4 4 28 	4.666666666666667 4.666666666666667 11.424 
4 4 29 	4 4 11.628 
